Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
530.0,Marko Simonovic,23.0,CHI,C,7.0,0.0,2.9,0.3,1.0,0.286,0.1,0.6,0.25,0.1,0.4,0.333,0.357,0.1,0.3,0.5,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,0.9,
531.0,Dereon Seabron,22.0,NOP,SG,5.0,0.0,2.4,0.4,1.0,0.4,0.0,0.0,,0.4,1.0,0.4,0.4,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,
532.0,Vernon Carey Jr.,21.0,WAS,C,11.0,0.0,2.5,0.2,0.7,0.25,0.0,0.0,,0.2,0.7,0.25,0.25,0.2,0.2,1.0,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5,
533.0,Devon Dotson,23.0,WAS,PG,6.0,0.0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0.0,1.0,0.0,0.15,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,
534.0,Leandro Bolmaro,22.0,UTA,SF,14.0,0.0,4.9,0.2,1.4,0.15,0.0,0.3,0.0,0.2,1.1,0.188,0.15,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,
535.0,Sterling Brown,27.0,LAL,SF,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,
536.0,Deonte Burton,29.0,SAC,PF,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
537.0,Michael Foster Jr.,20.0,PHI,PF,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
538.0,Frank Jackson,24.0,UTA,PG,1.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
539.0,Alondes Williams,23.0,BRK,SG,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,
,League Average,,,,,,,,,0.475,,,0.361,,,0.548,0.545,,,0.782,,,,,,,,,,
